id,title,description,category,priority
529,Issue: Bangalore South Hub is operating near full capacity with no available parking.,Bangalore South Hub is operating near full capacity with no available parking.,Hub Operations,High
530,Alert: Mobile app crashes when trying to book a ride from Bangalore South Hub.,Mobile app crashes when trying to book a ride from Bangalore South Hub.,Technical,Low
531,Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
532,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
533,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Medium
534,Report: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
535,Alert: Suggestion received to add more charging stations near Delhi North Hub.,Suggestion received to add more charging stations near Delhi North Hub.,Other,High
536,Report: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
537,Alert: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
538,Report: Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,Medium
539,Report: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
540,Report: EV-110 AC is not working properly.,EV-110 AC is not working properly.,Vehicle,Critical
541,Issue: Battery health indicator for EV-110 has degraded significantly this month.,Battery health indicator for EV-110 has degraded significantly this month.,Battery,Medium
542,Issue: Telematics unit on EV-106 stopped sending data.,Telematics unit on EV-106 stopped sending data.,Technical,Medium
543,EV-113 tyre pressure warning light is on.,EV-113 tyre pressure warning light is on.,Vehicle,High
544,Alert: EV-101 is due for scheduled maintenance and has not been serviced.,EV-101 is due for scheduled maintenance and has not been serviced.,Maintenance,Low
545,Alert: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
546,Issue: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,High
547,Report: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Low
548,Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Low
549,Report: Charging stops after a few minutes for EV-107 at station 3.,Charging stops after a few minutes for EV-107 at station 3.,Charging,Medium
550,Alert: EV-122 shows sudden battery drain even when parked.,EV-122 shows sudden battery drain even when parked.,Battery,Medium
551,Issue: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
552,Alert: Charging session for EV-103 keeps disconnecting randomly.,Charging session for EV-103 keeps disconnecting randomly.,Charging,High
553,Issue: GPS tracking for EV-106 is showing an incorrect location.,GPS tracking for EV-106 is showing an incorrect location.,Technical,High
554,Issue: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
555,Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
556,Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
557,Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Medium
558,Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Low
559,Report: EV-124 broke down during operation near Pune Central Hub.,EV-124 broke down during operation near Pune Central Hub.,Vehicle,Low
560,Report: Telematics unit on EV-108 stopped sending data.,Telematics unit on EV-108 stopped sending data.,Technical,Critical
561,Issue: EV-111 shows charging error code and will not start charging.,EV-111 shows charging error code and will not start charging.,Charging,Medium
562,EV-127 is not charging at station 3.,EV-127 is not charging at station 3.,Charging,High
563,Report: Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,Low
564,Battery health indicator for EV-112 has degraded significantly this month.,Battery health indicator for EV-112 has degraded significantly this month.,Battery,Medium
565,Report: Maintenance team flagged worn brake pads on EV-103.,Maintenance team flagged worn brake pads on EV-103.,Maintenance,Low
566,Battery health indicator for EV-129 has degraded significantly this month.,Battery health indicator for EV-129 has degraded significantly this month.,Battery,Critical
567,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Low
568,Issue: Routine inspection revealed a coolant leak in EV-101.,Routine inspection revealed a coolant leak in EV-101.,Maintenance,Medium
569,Report: Suggestion received to add more charging stations near Pune Central Hub.,Suggestion received to add more charging stations near Pune Central Hub.,Other,Medium
570,Issue: Telematics unit on EV-121 stopped sending data.,Telematics unit on EV-121 stopped sending data.,Technical,Low
571,Report: Charging session for EV-129 keeps disconnecting randomly.,Charging session for EV-129 keeps disconnecting randomly.,Charging,Medium
572,Issue: Battery health indicator for EV-110 has degraded significantly this month.,Battery health indicator for EV-110 has degraded significantly this month.,Battery,Low
573,Issue: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Low
574,Backend sync issue causing duplicate ride records at Pune Central Hub.,Backend sync issue causing duplicate ride records at Pune Central Hub.,Technical,Low
575,Issue: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Medium
576,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Low
577,Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Low
578,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
579,Alert: EV-100 battery temperature is unusually high during operation.,EV-100 battery temperature is unusually high during operation.,Battery,Medium
580,Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Low
581,Report: EV-123 dashboard display is flickering intermittently.,EV-123 dashboard display is flickering intermittently.,Vehicle,High
582,Report: Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver,Medium
583,Issue: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Low
584,Issue: Backend sync issue causing duplicate ride records at Delhi North Hub.,Backend sync issue causing duplicate ride records at Delhi North Hub.,Technical,Critical
585,Report: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
586,Report: EV-112 broke down during operation near Delhi North Hub.,EV-112 broke down during operation near Delhi North Hub.,Vehicle,High
587,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Low
588,Report: EV-122 maintenance was delayed due to parts unavailability.,EV-122 maintenance was delayed due to parts unavailability.,Maintenance,Medium
589,Report: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Low
590,Suggestion received to add more charging stations near Pune Central Hub.,Suggestion received to add more charging stations near Pune Central Hub.,Other,Low
591,Bangalore South Hub requires additional staff during the evening peak hours.,Bangalore South Hub requires additional staff during the evening peak hours.,Hub Operations,Low
592,Issue: EV-103 battery percentage is not increasing despite being connected at station 1.,EV-103 battery percentage is not increasing despite being connected at station 1.,Charging,Critical
593,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
594,Issue: Charging session for EV-125 keeps disconnecting randomly.,Charging session for EV-125 keeps disconnecting randomly.,Charging,Medium
595,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
596,Alert: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
597,Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
598,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,High
599,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
600,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
601,Alert: EV-114 shows charging error code and will not start charging.,EV-114 shows charging error code and will not start charging.,Charging,High
602,Alert: Delhi North Hub is operating near full capacity with no available parking.,Delhi North Hub is operating near full capacity with no available parking.,Hub Operations,Medium
603,Report: EV-116 shows sudden battery drain even when parked.,EV-116 shows sudden battery drain even when parked.,Battery,High
604,Report: EV-117 maintenance was delayed due to parts unavailability.,EV-117 maintenance was delayed due to parts unavailability.,Maintenance,High
605,Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
606,Report: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
607,Issue: Charging session for EV-128 keeps disconnecting randomly.,Charging session for EV-128 keeps disconnecting randomly.,Charging,Low
608,Alert: EV-117 requires software update for the onboard diagnostics system.,EV-117 requires software update for the onboard diagnostics system.,Maintenance,Low
609,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,High
610,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Low
611,Report: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
612,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Critical
613,Issue: EV-102 is not charging at station 1.,EV-102 is not charging at station 1.,Charging,Medium
614,Security gate at Delhi North Hub is malfunctioning.,Security gate at Delhi North Hub is malfunctioning.,Hub Operations,High
615,Issue: EV-100 requires software update for the onboard diagnostics system.,EV-100 requires software update for the onboard diagnostics system.,Maintenance,Medium
616,Issue: Bangalore South Hub is operating near full capacity with no available parking.,Bangalore South Hub is operating near full capacity with no available parking.,Hub Operations,Low
617,Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Low
618,Report: Routine inspection revealed a coolant leak in EV-126.,Routine inspection revealed a coolant leak in EV-126.,Maintenance,High
619,Alert: EV-112 dashboard display is flickering intermittently.,EV-112 dashboard display is flickering intermittently.,Vehicle,High
620,EV-127 battery percentage is not increasing despite being connected at station 3.,EV-127 battery percentage is not increasing despite being connected at station 3.,Charging,Critical
621,Alert: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
622,Alert: Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver,High
623,Issue: Driver has not arrived for the assigned shift at Delhi North Hub.,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver,Medium
624,Ride was cancelled midway without explanation for EV-108.,Ride was cancelled midway without explanation for EV-108.,Ride,Medium
625,Issue: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,High
626,Alert: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
627,Report: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Low
628,Alert: EV-107 shows charging error code and will not start charging.,EV-107 shows charging error code and will not start charging.,Charging,High
629,Alert: EV-123 dashboard display is flickering intermittently.,EV-123 dashboard display is flickering intermittently.,Vehicle,High
630,Issue: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Medium
631,Issue: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Medium
632,Report: Battery percentage dropped unusually fast during the last trip for EV-127.,Battery percentage dropped unusually fast during the last trip for EV-127.,Battery,Medium
633,Report: EV-108 battery percentage is not increasing despite being connected at station 8.,EV-108 battery percentage is not increasing despite being connected at station 8.,Charging,High
634,Issue: Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,High
635,Report: Suggestion received to add more charging stations near Mumbai East Hub.,Suggestion received to add more charging stations near Mumbai East Hub.,Other,Medium
636,Issue: Delhi North Hub requires additional staff during the evening peak hours.,Delhi North Hub requires additional staff during the evening peak hours.,Hub Operations,Low
637,Issue: Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver,High
638,Suggestion received to add more charging stations near Delhi North Hub.,Suggestion received to add more charging stations near Delhi North Hub.,Other,Medium
639,Alert: EV-120 is not charging at station 6.,EV-120 is not charging at station 6.,Charging,Medium
640,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
641,Report: Delhi North Hub is operating near full capacity with no available parking.,Delhi North Hub is operating near full capacity with no available parking.,Hub Operations,Low
642,Issue: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
643,Alert: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Critical
644,Issue: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Medium
645,Suggestion received to add more charging stations near Pune Central Hub.,Suggestion received to add more charging stations near Pune Central Hub.,Other,Medium
646,Issue: GPS tracking for EV-118 is showing an incorrect location.,GPS tracking for EV-118 is showing an incorrect location.,Technical,Critical
647,Issue: EV-118 tyre pressure warning light is on.,EV-118 tyre pressure warning light is on.,Vehicle,Medium
648,Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Low
649,Report: Bangalore South Hub requires additional staff during the evening peak hours.,Bangalore South Hub requires additional staff during the evening peak hours.,Hub Operations,Low
650,Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
651,Alert: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,High
652,Report: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
653,Report: Battery percentage dropped unusually fast during the last trip for EV-106.,Battery percentage dropped unusually fast during the last trip for EV-106.,Battery,Medium
654,Report: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Critical
655,Alert: Delhi North Hub requires additional staff during the evening peak hours.,Delhi North Hub requires additional staff during the evening peak hours.,Hub Operations,Medium
656,Charging session for EV-116 keeps disconnecting randomly.,Charging session for EV-116 keeps disconnecting randomly.,Charging,Low
657,EV-118 requires software update for the onboard diagnostics system.,EV-118 requires software update for the onboard diagnostics system.,Maintenance,Critical
658,Issue: Driver has not arrived for the assigned shift at Bangalore South Hub.,Driver has not arrived for the assigned shift at Bangalore South Hub.,Driver,High
659,Alert: Delhi North Hub requires additional staff during the evening peak hours.,Delhi North Hub requires additional staff during the evening peak hours.,Hub Operations,Medium
660,Alert: EV-103 requires software update for the onboard diagnostics system.,EV-103 requires software update for the onboard diagnostics system.,Maintenance,Medium
661,Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Low
662,Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver,High
663,Issue: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
664,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver,High
665,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,High
666,Report: EV-115 battery temperature is unusually high during operation.,EV-115 battery temperature is unusually high during operation.,Battery,Critical
667,Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Low
668,Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,Medium
669,Report: Charging stops after a few minutes for EV-127 at station 5.,Charging stops after a few minutes for EV-127 at station 5.,Charging,Critical
670,Issue: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,High
671,EV-108 broke down during operation near Bangalore South Hub.,EV-108 broke down during operation near Bangalore South Hub.,Vehicle,Medium
672,Alert: Security gate at Pune Central Hub is malfunctioning.,Security gate at Pune Central Hub is malfunctioning.,Hub Operations,Low
673,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,High
674,Issue: Backend sync issue causing duplicate ride records at Bangalore South Hub.,Backend sync issue causing duplicate ride records at Bangalore South Hub.,Technical,High
675,Alert: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Low
676,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
677,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
678,Battery health indicator for EV-120 has degraded significantly this month.,Battery health indicator for EV-120 has degraded significantly this month.,Battery,Medium
679,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,High
680,Report: EV-102 requires software update for the onboard diagnostics system.,EV-102 requires software update for the onboard diagnostics system.,Maintenance,High
681,Report: Delhi North Hub reported a power outage affecting charging operations.,Delhi North Hub reported a power outage affecting charging operations.,Hub Operations,Medium
682,Alert: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Low
683,Issue: EV-103 broke down during operation near Delhi North Hub.,EV-103 broke down during operation near Delhi North Hub.,Vehicle,Medium
684,Alert: Telematics unit on EV-119 stopped sending data.,Telematics unit on EV-119 stopped sending data.,Technical,Low
685,Report: GPS tracking for EV-124 is showing an incorrect location.,GPS tracking for EV-124 is showing an incorrect location.,Technical,High
686,Issue: EV-125 battery percentage is not increasing despite being connected at station 7.,EV-125 battery percentage is not increasing despite being connected at station 7.,Charging,Low
687,Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Low
688,Alert: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Medium
689,Report: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
690,Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
691,Alert: Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver,Low
692,Alert: GPS tracking for EV-118 is showing an incorrect location.,GPS tracking for EV-118 is showing an incorrect location.,Technical,Low
693,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
694,Alert: Mobile app crashes when trying to book a ride from Delhi North Hub.,Mobile app crashes when trying to book a ride from Delhi North Hub.,Technical,Critical
695,Report: Telematics unit on EV-108 stopped sending data.,Telematics unit on EV-108 stopped sending data.,Technical,Critical
696,Issue: Charging stops after a few minutes for EV-126 at station 5.,Charging stops after a few minutes for EV-126 at station 5.,Charging,Medium
697,Alert: Telematics unit on EV-108 stopped sending data.,Telematics unit on EV-108 stopped sending data.,Technical,Medium
698,Report: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Low
699,Bangalore South Hub requires additional staff during the evening peak hours.,Bangalore South Hub requires additional staff during the evening peak hours.,Hub Operations,High
700,Report: Mobile app crashes when trying to book a ride from Delhi North Hub.,Mobile app crashes when trying to book a ride from Delhi North Hub.,Technical,Medium
701,EV-125 dashboard display is flickering intermittently.,EV-125 dashboard display is flickering intermittently.,Vehicle,Medium
702,Alert: Battery percentage dropped unusually fast during the last trip for EV-105.,Battery percentage dropped unusually fast during the last trip for EV-105.,Battery,High
703,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Low
704,Issue: Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,High
705,EV-107 dashboard display is flickering intermittently.,EV-107 dashboard display is flickering intermittently.,Vehicle,Critical
706,Battery percentage dropped unusually fast during the last trip for EV-102.,Battery percentage dropped unusually fast during the last trip for EV-102.,Battery,Critical
707,Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Critical
708,Report: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Medium
709,Alert: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Low
710,Report: Backend sync issue causing duplicate ride records at Delhi North Hub.,Backend sync issue causing duplicate ride records at Delhi North Hub.,Technical,Critical
711,Bangalore South Hub requires additional staff during the evening peak hours.,Bangalore South Hub requires additional staff during the evening peak hours.,Hub Operations,Low
712,Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
713,Report: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Medium
714,Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Low
715,Issue: Ride was cancelled midway without explanation for EV-124.,Ride was cancelled midway without explanation for EV-124.,Ride,Medium
716,Report: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,High
717,Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
718,Alert: Suggestion received to add more charging stations near Bangalore South Hub.,Suggestion received to add more charging stations near Bangalore South Hub.,Other,Low
719,Issue: Maintenance team flagged worn brake pads on EV-127.,Maintenance team flagged worn brake pads on EV-127.,Maintenance,Critical
720,Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Low
721,Issue: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Low
722,Issue: EV-109 broke down during operation near Mumbai East Hub.,EV-109 broke down during operation near Mumbai East Hub.,Vehicle,Medium
723,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver,High
724,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Medium
725,Report: EV-124 shows charging error code and will not start charging.,EV-124 shows charging error code and will not start charging.,Charging,High
726,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,High
727,Issue: Routine inspection revealed a coolant leak in EV-107.,Routine inspection revealed a coolant leak in EV-107.,Maintenance,High
728,Report: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Low
729,Alert: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
730,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Low
731,Issue: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Low
732,Report: Maintenance team flagged worn brake pads on EV-100.,Maintenance team flagged worn brake pads on EV-100.,Maintenance,Medium
733,Alert: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Critical
734,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
735,EV-107 brakes feel soft and need inspection.,EV-107 brakes feel soft and need inspection.,Vehicle,Medium
736,Alert: Driver has not arrived for the assigned shift at Bangalore South Hub.,Driver has not arrived for the assigned shift at Bangalore South Hub.,Driver,Medium
737,Charging cable at station 8 appears damaged and vehicle is not accepting charge.,Charging cable at station 8 appears damaged and vehicle is not accepting charge.,Charging,High
738,Alert: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
739,Alert: Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,High
740,Issue: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Medium
741,Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,Medium
742,Alert: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
743,Report: EV-103 requires software update for the onboard diagnostics system.,EV-103 requires software update for the onboard diagnostics system.,Maintenance,Critical
744,Issue: EV-106 broke down during operation near Delhi North Hub.,EV-106 broke down during operation near Delhi North Hub.,Vehicle,Critical
745,Report: Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Hub Operations,Critical
746,Issue: Delhi North Hub is operating near full capacity with no available parking.,Delhi North Hub is operating near full capacity with no available parking.,Hub Operations,Low
747,Issue: Mobile app crashes when trying to book a ride from Bangalore South Hub.,Mobile app crashes when trying to book a ride from Bangalore South Hub.,Technical,Medium
748,Issue: Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,Low
749,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
750,Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
751,"Report: EV-111 shuts down unexpectedly, suspected battery fault.","EV-111 shuts down unexpectedly, suspected battery fault.",Battery,Medium
752,EV-112 tyre pressure warning light is on.,EV-112 tyre pressure warning light is on.,Vehicle,High
753,Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
754,Alert: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
755,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
756,Report: Bangalore South Hub is operating near full capacity with no available parking.,Bangalore South Hub is operating near full capacity with no available parking.,Hub Operations,Critical
757,Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Critical
758,Report: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Low
759,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
760,Issue: EV-125 shows sudden battery drain even when parked.,EV-125 shows sudden battery drain even when parked.,Battery,High
761,Alert: Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,Medium
762,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
763,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
764,Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Critical
765,Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
766,Issue: EV-110 AC is not working properly.,EV-110 AC is not working properly.,Vehicle,High
767,Report: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
768,Report: EV-117 brakes feel soft and need inspection.,EV-117 brakes feel soft and need inspection.,Vehicle,High
769,Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Critical
770,Alert: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
771,Alert: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,High
772,Report: Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Hub Operations,Critical
773,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
774,Issue: Security gate at Pune Central Hub is malfunctioning.,Security gate at Pune Central Hub is malfunctioning.,Hub Operations,High
775,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
776,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
777,Alert: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,High
778,Issue: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
779,Issue: Battery health indicator for EV-121 has degraded significantly this month.,Battery health indicator for EV-121 has degraded significantly this month.,Battery,Medium
780,Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Low
781,Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,Medium
782,Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
783,Report: EV-111 broke down during operation near Bangalore South Hub.,EV-111 broke down during operation near Bangalore South Hub.,Vehicle,Medium
784,Issue: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Low
